Generation,FITNESS,SAFE_DISTANCE,SEARCH_ROTATION_TIME,SEARCH_MOVE_TIME,SWITCH_ROTATION_DIRECTION,EVADE_ON_TARGETED,ATTACK_ON_TARGETED,DETECT_TARGETED,CHASE_HEALTH_FOOD,CHASE_SPEED_FOOD,CHASE_RSPEED_FOOD,CHASE_DAMAGE_FOOD,SWITCH_FROM_CURRENT_GOAL,SWITCH_TO_ATTACK_STATE,STARTING_SPEED,STARTING_RSPEED,STARTING_HEALTH,STARTING_DAMAGE,VIEW_DISTANCE,VIEW_WIDTH,MASS,CHASE_TIME
0,0,13534,0.953240275383,0.0195375471323,0.1834178093247,0.95565492592475,0.20218595862389,0.90811327301978,0.22795513272285,0.20928370311982,0.13183405223469,0.48626604676247,0.10067912166366,0.30890789628029,384.257913494008,172.441114098596,56,20,22,17,2.42833079088217,3
0,0,10000,0.12042992396111,0.77857401844702,0.82719865880467,0.25690478086472,0.33647854316107,0.63295037500663,0.38715532422066,0.89968621730804,0.17655751109123,0.68793009802277,0.07682833075523,0.89531261289462,251.83261857985,255.33050964447,68,66,5,5,1.83008181627932,3
0,0,9850,0.63781839609146,0.74656260825954,0.50817677529593,0.0422066864652,0.58433842658997,0.70606708932111,0.49287875647867,0.51699668169022,0.30315013876087,0.00046954433846,0.65237278928114,0.51796966791153,190.154051460719,225.296400708291,159,20,5,5,2,3
0,0,10000,0.4172769774438,0.87985986471176,0.09177269786596,0.35553792119026,0.63911818060927,0.87862753868103,0.76212954521179,0.64454395046169,0.8293399810791,0.46226932137313,0.58531019426719,0.09952762722969,21.0805088624597,115.420867889694,4,10,0,10,2.62353641073489,3
0,0,13229,0.95051330327988,0.99778962135315,0.1317560649542,0.72859060764313,0.5362189412117,0.15460470281735,0.70566297978997,0.32582002878189,0.73807728290558,0.50007218122482,0.91615670919418,0.34282086491906,144.816118863872,340.452485679063,166,20,0,5,1.32685583630457,2.65675652205388
0,0,10000,0.34534296393394,0.26363727228717,0.69321191310883,0.48536199331284,0.85457845679829,0.5280659198761,0.83276687027199,0.11615993674419,0.50882190465927,0.76703006029129,0.07387907058001,0.23744083940983,244.854961408755,124.597226238804,127,20,5,20,2,2.42346119896878
0,5,10000,0.88862237695945,0.92298184941747,0.44904846028056,0.94232475757599,0.12557734565168,0.37409541010857,0.9694505591187,0.49603697869223,0.36954332094899,0.23554483056068,0.28246840834618,0.30614862204199,145.257848843898,155.131820554716,109,14,32,5,2,3
0,10,10000,0.06207616627216,0.42925490282042,0.4156366779744,0.56650823354721,0.61456328630447,0.38725918531418,0.53916147983385,0.65841949727178,0.67220032215118,0.93208177651358,0.83470387176397,0.4415470964724,102.83309621113,0,100,20,0,0,2,2.17232939823497
0,10,12735,0.98370051383972,0.95192122459412,0.02018052339554,0.82223087568842,0.84893672171082,0.81593817472458,0.95267273141572,0.30526831746101,0.60875159502029,0.51612133732218,0.07890412211418,0.05876267588386,229.333443910009,243.377941796673,89,0,5,28,2,2.63904564100795
0,0,10000,0.77547439709758,0.92401416547211,0.82246998737877,0.78153586387634,0.84676689507512,0.80176436262476,0.6963307261467,0.63943546557349,0.0259679351002,0.42024909235169,0.20132314192487,0.72049267506397,0,0,100,20,5,3,2,2.60799306725091
